Sample in Buffer,Sample in Window,TRIGGER,design_1_i/rf_ss/rf_data_system_ila/inst/probe0_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe1_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe2_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe3_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe4_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe5_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe6_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe7_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe8_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe9_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe10_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe11_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe12_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe13_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe14_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe15_1[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED
520,520,0,3336,-3164,1720,396,-2376,3304,-3124,1720,-677,140,451,-870,956,-677,139,451
521,521,0,500,-2372,3332,-3132,1652,372,-2292,3372,452,-872,957,-678,140,452,-871,956
522,522,0,-3124,1688,468,-2300,3364,-3164,1700,380,956,-677,139,452,-871,957,-679,140
523,523,0,-2312,3332,-3108,1692,540,-2300,3396,-3148,138,453,-871,957,-677,138,453,-870
524,524,0,1728,372,-2372,3340,-3108,1644,484,-2284,-871,957,-677,139,453,-871,957,-677
525,525,0,3328,-3112,1688,532,-2284,3356,-3164,1620,-677,139,452,-871,957,-677,139,453
526,526,0,448,-2332,3308,-3132,1636,404,-2364,3300,452,-871,957,-677,139,452,-871,957
527,527,0,-3120,1596,432,-2332,3328,-3116,1708,540,957,-678,140,452,-871,957,-678,139
528,528,0,-2320,3340,-3084,1644,516,-2364,3356,-3148,140,452,-871,957,-678,140,452,-871
529,529,0,1696,516,-2372,3380,-3068,1628,404,-2388,-870,957,-678,140,451,-870,957,-678
530,530,0,3356,-3108,1704,420,-2308,3312,-3116,1696,-678,140,451,-870,957,-678,140,451
531,531,0,516,-2364,3316,-3164,1612,520,-2316,3340,451,-870,957,-678,141,451,-870,957
532,532,0,-3156,1680,400,-2380,3344,-3148,1692,460,957,-679,141,451,-870,957,-679,141
533,533,0,-2372,3364,-3116,1628,388,-2364,3372,-3180,141,450,-870,957,-679,141,450,-870
534,534,0,1660,452,-2372,3300,-3120,1668,412,-2300,-870,957,-679,142,450,-870,957,-679
535,535,0,3332,-3172,1636,428,-2424,3364,-3124,1604,-679,142,450,-870,957,-679,142,450
536,536,0,416,-2420,3388,-3124,1612,508,-2284,3300,449,-869,957,-680,142,450,-870,957
537,537,0,-3140,1636,376,-2388,3304,-3160,1692,380,957,-680,143,449,-869,957,-680,142
538,538,0,-2360,3340,-3124,1628,388,-2372,3348,-3148,143,449,-869,957,-680,143,449,-869
539,539,0,1644,484,-2316,3308,-3120,1644,492,-2292,-869,958,-680,143,449,-869,957,-680
540,540,0,3272,-3172,1612,404,-2348,3336,-3124,1704,-680,143,448,-869,958,-680,143,449
541,541,0,476,-2292,3292,-3132,1664,396,-2412,3324,448,-869,958,-681,144,448,-869,958
542,542,0,-3108,1656,524,-2348,3372,-3124,1624,516,958,-681,144,448,-869,958,-681,144
543,543,0,-2388,3300,-3092,1692,548,-2316,3404,-3132,144,448,-869,958,-681,144,448,-869
544,544,0,1656,484,-2412,3340,-3132,1628,492,-2412,-868,958,-681,145,447,-868,958,-681
545,545,0,3288,-3116,1620,484,-2292,3336,-3140,1680,-682,145,447,-868,958,-681,145,447
546,546,0,484,-2388,3300,-3108,1548,388,-2292,3300,447,-868,958,-682,145,447,-868,958
547,547,0,-3108,1640,500,-2308,3344,-3132,1608,516,958,-684,146,446,-868,958,-683,145
548,548,0,-2356,3356,-3124,1668,388,-2372,3316,-3124,148,445,-867,958,-684,148,445,-867
549,549,0,1644,420,-2412,3324,-3124,1596,484,-2292,-867,959,-684,148,444,-867,958,-684
550,550,0,3304,-3128,1656,404,-2440,3364,-3124,1704,-684,148,444,-867,959,-684,148,444
551,551,0,508,-2364,3372,-3124,1596,508,-2348,3380,444,-867,959,-684,149,444,-867,959
552,552,0,-3132,1648,524,-2396,3304,-3188,1660,524,959,-685,149,444,-867,959,-684,149
553,553,0,-2388,3340,-3132,1564,436,-2404,3340,-3148,149,443,-866,959,-685,149,443,-867
554,554,0,1612,428,-2412,3388,-3136,1660,492,-2316,-866,960,-685,149,443,-866,959,-684
555,555,0,3304,-3152,1656,484,-2340,3364,-3116,1672,-685,150,443,-866,959,-685,150,443
556,556,0,516,-2420,3348,-3148,1548,544,-2340,3324,441,-865,958,-685,150,442,-866,958
557,557,0,-3140,1648,540,-2356,3340,-3172,1692,556,956,-684,150,441,-864,957,-685,150
558,558,0,-2320,3380,-3124,1652,436,-2348,3404,-3124,151,441,-864,957,-684,150,441,-863
559,559,0,1596,508,-2452,3364,-3076,1684,564,-2340,-864,958,-685,151,441,-864,958,-685
560,560,0,3372,-3128,1680,428,-2384,3288,-3172,1604,-685,151,440,-864,957,-685,151,441
561,561,0,440,-2340,3316,-3156,1680,528,-2436,3300,442,-864,957,-684,150,441,-864,957
562,562,0,-3132,1612,424,-2436,3304,-3212,1576,396,957,-684,150,442,-864,957,-684,150
563,563,0,-2384,3348,-3108,1604,388,-2324,3308,-3124,150,441,-864,957,-684,150,441,-864
564,564,0,1604,420,-2300,3348,-3124,1628,508,-2332,-864,957,-684,150,441,-864,957,-684
565,565,0,3340,-3116,1656,532,-2464,3320,-3124,1640,-685,151,441,-864,957,-684,151,441
566,566,0,440,-2412,3380,-3132,1548,544,-2372,3324,440,-864,957,-685,151,441,-864,957
567,567,0,-3108,1600,556,-2324,3328,-3100,1584,532,957,-685,151,440,-864,957,-685,151
568,568,0,-2368,3380,-3132,1596,556,-2428,3356,-3124,152,440,-863,957,-685,151,440,-863
569,569,0,1596,420,-2308,3316,-3100,1652,492,-2316,-863,957,-685,152,440,-863,957,-685
570,570,0,3352,-3080,1656,452,-2424,3296,-3116,1696,-686,152,439,-863,957,-685,152,440
571,571,0,492,-2356,3324,-3100,1628,436,-2404,3332,439,-863,957,-686,152,439,-863,957
572,572,0,-3120,1664,564,-2380,3304,-3092,1608,444,957,-686,153,439,-863,957,-686,153
573,573,0,-2436,3316,-3084,1668,412,-2436,3380,-3124,151,439,-863,957,-685,152,439,-863
574,574,0,1672,468,-2452,3316,-3088,1612,532,-2420,-863,957,-685,151,440,-863,957,-685
575,575,0,3320,-3164,1588,548,-2356,3312,-3100,1672,-685,152,440,-863,957,-685,151,440
576,576,0,456,-2356,3412,-3100,1604,544,-2420,3364,439,-863,957,-685,152,440,-863,957
577,577,0,-3104,1572,548,-2412,3388,-3140,1584,540,957,-685,152,439,-863,957,-685,152
578,578,0,-2352,3388,-3108,1636,540,-2388,3324,-3132,153,439,-863,957,-686,152,439,-863
579,579,0,1640,468,-2332,3308,-3104,1596,476,-2356,-863,957,-686,153,439,-863,957,-686
580,580,0,3388,-3136,1588,564,-2432,3296,-3108,1612,-686,153,438,-862,957,-686,153,439
581,581,0,424,-2396,3340,-3108,1672,484,-2324,3364,438,-862,957,-686,153,438,-862,957
582,582,0,-3096,1604,464,-2340,3356,-3120,1660,620,956,-686,153,439,-863,957,-686,153
583,583,0,-2360,3332,-3164,1644,452,-2356,3364,-3092,152,440,-863,957,-685,152,439,-862
584,584,0,1596,476,-2420,3332,-3152,1588,508,-2476,-862,957,-685,152,439,-863,958,-685
585,585,0,3304,-3116,1616,428,-2472,3356,-3124,1632,-684,153,438,-862,956,-685,152,438
586,586,0,464,-2364,3340,-3100,1640,544,-2324,3396,437,-860,955,-684,153,438,-861,955
587,587,0,-3092,1640,524,-2420,3328,-3072,1584,476,955,-685,153,437,-860,955,-685,153
588,588,0,-2352,3356,-3092,1660,460,-2436,3380,-3092,153,437,-860,955,-685,153,438,-860
589,589,0,1596,556,-2324,3372,-3108,1636,428,-2468,-860,955,-685,154,437,-860,955,-685
590,590,0,3336,-3140,1648,564,-2432,3368,-3092,1620,-685,154,436,-860,955,-685,154,437
591,591,0,556,-2420,3332,-3132,1564,536,-2436,3300,436,-860,955,-686,154,436,-860,955
592,592,0,-3084,1624,504,-2348,3336,-3096,1568,444,955,-686,154,436,-860,955,-686,154
593,593,0,-2384,3372,-3108,1612,548,-2356,3348,-3116,153,436,-860,955,-685,154,436,-860
594,594,0,1560,516,-2476,3332,-3156,1644,508,-2444,-860,955,-685,153,437,-860,955,-685
595,595,0,3352,-3104,1564,596,-2356,3332,-3148,1572,-685,153,437,-860,955,-685,153,437
596,596,0,540,-2388,3292,-3172,1640,444,-2444,3308,436,-860,955,-685,154,437,-860,955
597,597,0,-3156,1596,448,-2460,3328,-3096,1588,548,955,-685,154,436,-860,955,-685,154
598,598,0,-2408,3300,-3164,1532,460,-2428,3324,-3172,154,436,-860,955,-685,154,436,-860
599,599,0,1576,548,-2460,3356,-3104,1660,476,-2348,-859,955,-686,154,436,-860,955,-686
600,600,0,3340,-3116,1580,572,-2364,3312,-3180,1572,-686,155,435,-859,955,-686,155,436
601,601,0,472,-2412,3372,-3132,1548,412,-2428,3404,435,-859,955,-686,155,435,-859,955
602,602,0,-3080,1556,456,-2444,3396,-3112,1596,604,955,-686,155,435,-859,955,-686,155
603,603,0,-2392,3332,-3084,1556,612,-2468,3380,-3068,156,435,-859,955,-686,156,435,-859
604,604,0,1624,500,-2364,3292,-3080,1536,588,-2372,-858,956,-687,157,434,-858,955,-687
605,605,0,3328,-3148,1616,580,-2432,3412,-3100,1580,-689,158,432,-858,956,-688,158,433
606,606,0,524,-2380,3348,-3140,1616,460,-2364,3396,432,-858,956,-689,158,432,-858,956
607,607,0,-3120,1548,588,-2364,3368,-3084,1644,596,956,-689,159,432,-858,956,-689,159
608,608,0,-2352,3340,-3116,1572,460,-2436,3316,-3060,159,432,-857,956,-689,159,432,-858
609,609,0,1576,588,-2356,3356,-3124,1660,580,-2444,-857,956,-689,159,431,-857,956,-689
610,610,0,3320,-3064,1548,564,-2364,3332,-3124,1608,-690,160,431,-857,956,-689,160,431
611,611,0,484,-2452,3300,-3084,1548,484,-2380,3332,431,-857,956,-690,160,431,-857,956
612,612,0,-3124,1560,448,-2380,3316,-3100,1588,572,956,-690,160,431,-857,956,-690,160
613,613,0,-2360,3324,-3108,1620,540,-2348,3316,-3100,161,430,-857,956,-690,160,430,-857
614,614,0,1616,540,-2356,3380,-3112,1556,556,-2356,-857,956,-690,161,430,-857,956,-690
615,615,0,3344,-3088,1532,564,-2348,3328,-3124,1524,-691,161,430,-857,956,-690,161,430
616,616,0,512,-2388,3364,-3068,1648,468,-2468,3332,429,-857,956,-691,161,430,-857,956
617,617,0,-3128,1548,464,-2436,3364,-3104,1644,604,955,-691,162,429,-856,956,-691,162
618,618,0,-2452,3308,-3092,1612,420,-2380,3292,-3132,164,428,-856,957,-692,163,428,-855
619,619,0,1540,452,-2444,3340,-3108,1628,492,-2372,-856,959,-694,164,428,-856,958,-693
620,620,0,3288,-3144,1656,556,-2364,3372,-3140,1492,-694,165,428,-857,959,-694,165,427
621,621,0,556,-2404,3332,-3100,1616,616,-2452,3404,427,-857,959,-695,165,428,-858,959
622,622,0,-3112,1572,556,-2476,3336,-3040,1588,580,959,-695,165,427,-857,959,-695,165
623,623,0,-2392,3364,-3148,1532,564,-2396,3380,-3116,166,427,-857,959,-695,166,427,-857
624,624,0,1624,580,-2372,3372,-3116,1620,572,-2388,-856,959,-695,166,427,-856,959,-695
625,625,0,3352,-3060,1632,500,-2372,3320,-3068,1508,-696,166,426,-856,959,-695,166,427
626,626,0,580,-2372,3364,-3140,1564,576,-2396,3396,426,-856,959,-696,166,426,-856,959
627,627,0,-3096,1584,488,-2396,3320,-3104,1620,500,959,-696,167,426,-856,959,-696,167
628,628,0,-2428,3324,-3084,1524,476,-2364,3356,-3060,169,424,-855,959,-697,168,425,-856
629,629,0,1632,540,-2364,3388,-3064,1588,532,-2332,-855,960,-698,169,424,-855,960,-698
630,630,0,3368,-3064,1548,612,-2504,3364,-3076,1588,-698,170,423,-855,960,-698,170,424
631,631,0,528,-2460,3356,-3084,1640,616,-2452,3364,423,-855,960,-698,170,423,-855,960
632,632,0,-3048,1552,588,-2404,3372,-3140,1520,516,960,-699,170,423,-855,960,-698,170
633,633,0,-2384,3372,-3052,1596,476,-2492,3316,-3052,171,424,-855,961,-699,171,423,-854
634,634,0,1564,524,-2372,3348,-3072,1512,500,-2436,-856,963,-700,171,423,-856,962,-699
635,635,0,3372,-3108,1540,596,-2496,3364,-3100,1564,-700,171,423,-856,962,-700,171,423
636,636,0,572,-2460,3324,-3116,1624,508,-2380,3332,423,-856,962,-701,172,423,-856,961
637,637,0,-3084,1592,552,-2500,3352,-3088,1544,508,962,-701,172,423,-856,962,-701,172
638,638,0,-2376,3324,-3132,1492,588,-2468,3292,-3092,172,422,-856,962,-701,172,422,-856
639,639,0,1576,508,-2444,3380,-3120,1520,524,-2364,-855,962,-701,172,422,-855,962,-701
640,640,0,3336,-3100,1532,532,-2388,3364,-3100,1548,-701,173,422,-855,962,-701,173,422
641,641,0,588,-2404,3332,-3084,1576,468,-2484,3324,421,-855,962,-702,173,422,-855,962
642,642,0,-3052,1532,596,-2484,3360,-3084,1588,540,962,-702,173,421,-855,962,-702,173
643,643,0,-2460,3348,-3060,1524,468,-2372,3372,-3076,174,422,-856,963,-703,174,422,-855
644,644,0,1540,572,-2452,3372,-3100,1604,620,-2324,-857,965,-703,174,422,-857,964,-703
645,645,0,3356,-3120,1548,596,-2456,3368,-3052,1624,-703,174,421,-856,964,-704,174,422
646,646,0,512,-2476,3412,-3076,1648,524,-2356,3364,421,-856,964,-704,175,421,-856,963
647,647,0,-3084,1548,604,-2484,3380,-3088,1604,636,964,-704,175,421,-856,964,-704,175
648,648,0,-2460,3348,-3124,1468,516,-2380,3348,-3092,175,421,-856,964,-704,175,421,-856
649,649,0,1576,548,-2396,3380,-3068,1548,612,-2388,-856,965,-704,176,420,-856,965,-704
650,650,0,3420,-3064,1492,620,-2488,3384,-3092,1600,-704,176,420,-856,964,-705,176,420
651,651,0,596,-2388,3332,-3068,1576,500,-2444,3316,420,-856,964,-705,176,420,-856,963
652,652,0,-3092,1516,520,-2492,3372,-3104,1520,620,965,-706,177,420,-856,965,-706,176
653,653,0,-2416,3332,-3100,1572,628,-2388,3364,-3092,177,421,-857,966,-707,177,420,-856
654,654,0,1540,540,-2396,3388,-3064,1604,492,-2412,-857,966,-706,176,421,-857,967,-707
655,655,0,3388,-3072,1600,620,-2448,3328,-3116,1516,-706,176,422,-858,966,-705,175,421
656,656,0,552,-2412,3412,-3060,1484,492,-2444,3348,421,-857,966,-706,176,421,-858,966
657,657,0,-3120,1492,636,-2476,3336,-3108,1504,668,966,-706,176,421,-857,966,-706,176
658,658,0,-2400,3388,-3084,1548,500,-2428,3284,-3076,176,421,-857,966,-706,176,421,-857
659,659,0,1560,500,-2420,3276,-3108,1512,588,-2396,-857,966,-706,177,421,-857,966,-706
660,660,0,3344,-3112,1576,500,-2472,3372,-3052,1508,-707,177,420,-857,966,-706,177,420
661,661,0,544,-2488,3380,-3076,1460,632,-2420,3380,420,-857,966,-707,177,420,-857,966
662,662,0,-3112,1536,596,-2468,3320,-3100,1564,636,966,-707,178,420,-857,966,-707,177
663,663,0,-2448,3348,-3092,1524,540,-2396,3388,-3068,178,419,-856,966,-707,178,420,-857
664,664,0,1532,548,-2380,3388,-3076,1488,508,-2380,-856,966,-707,178,419,-856,966,-707
665,665,0,3304,-3080,1608,532,-2412,3428,-3116,1484,-708,178,419,-856,966,-708,178,419
666,666,0,572,-2504,3380,-3076,1468,492,-2404,3332,419,-856,966,-708,179,419,-856,966
667,667,0,-3080,1520,552,-2412,3396,-3072,1520,612,967,-708,179,418,-856,967,-708,179
668,668,0,-2492,3348,-3092,1572,540,-2436,3332,-3092,179,418,-856,967,-708,179,418,-856
669,669,0,1516,604,-2404,3380,-3088,1488,684,-2484,-856,967,-708,180,418,-856,967,-708
670,670,0,3420,-3124,1500,628,-2496,3312,-3044,1560,-709,180,417,-855,967,-709,180,418
671,671,0,588,-2404,3388,-3100,1516,532,-2468,3332,417,-855,967,-709,180,417,-855,967
672,672,0,-3084,1584,652,-2396,3304,-3052,1556,644,967,-710,181,417,-855,967,-709,180
673,673,0,-2452,3340,-3076,1556,692,-2436,3340,-3084,181,417,-855,967,-709,181,417,-855
674,674,0,1516,580,-2492,3364,-3092,1556,508,-2420,-853,966,-709,181,416,-854,967,-709
675,675,0,3380,-3080,1584,612,-2372,3336,-3076,1476,-708,181,415,-853,965,-708,181,415
676,676,0,600,-2436,3316,-3020,1608,640,-2452,3356,415,-854,965,-709,181,415,-853,964
677,677,0,-3096,1544,512,-2500,3384,-3108,1556,652,965,-709,182,415,-853,965,-709,182
678,678,0,-2400,3356,-3068,1508,612,-2484,3348,-3092,182,414,-852,965,-709,182,414,-853
679,679,0,1508,556,-2404,3332,-3124,1524,620,-2516,-852,966,-709,182,414,-852,965,-708
680,680,0,3328,-3112,1476,572,-2504,3320,-3052,1460,-709,183,414,-852,965,-709,183,414
681,681,0,612,-2436,3364,-3084,1552,564,-2428,3356,412,-851,964,-709,183,413,-852,964
682,682,0,-3044,1508,636,-2396,3380,-3056,1488,652,962,-708,183,412,-850,963,-709,183
683,683,0,-2408,3348,-3084,1548,676,-2492,3356,-3044,183,412,-850,963,-709,183,412,-849
684,684,0,1576,684,-2444,3324,-3048,1480,636,-2420,-850,964,-709,184,412,-850,964,-709
685,685,0,3372,-3116,1476,628,-2488,3336,-3084,1544,-708,184,411,-850,963,-709,184,412
686,686,0,620,-2488,3356,-3092,1568,484,-2476,3372,411,-850,963,-709,184,411,-850,962
687,687,0,-3072,1484,560,-2420,3288,-3072,1548,676,962,-709,185,411,-849,963,-710,184
688,688,0,-2468,3316,-3084,1540,540,-2524,3388,-3108,185,410,-848,962,-709,185,411,-848
689,689,0,1516,540,-2404,3356,-3076,1556,508,-2484,-846,962,-709,185,409,-847,962,-708
690,690,0,3372,-3068,1468,620,-2504,3404,-3092,1544,-710,187,408,-847,962,-709,186,409
691,691,0,552,-2436,3340,-3052,1484,632,-2476,3324,407,-847,962,-710,187,407,-847,962
692,692,0,-3032,1476,632,-2420,3452,-3060,1556,652,961,-711,188,407,-846,962,-711,188
693,693,0,-2424,3340,-3084,1548,604,-2532,3324,-3092,188,407,-846,962,-711,188,407,-845
694,694,0,1536,660,-2524,3372,-3072,1472,620,-2484,-845,962,-711,188,406,-846,963,-711
695,695,0,3336,-3084,1460,644,-2412,3412,-3060,1576,-710,189,405,-845,961,-711,189,406
696,696,0,604,-2520,3364,-3052,1560,540,-2444,3364,404,-844,960,-710,189,405,-845,960
697,697,0,-3036,1468,644,-2420,3396,-3064,1564,644,960,-710,189,404,-843,960,-710,189
698,698,0,-2508,3364,-3068,1516,564,-2484,3372,-3100,189,405,-843,960,-710,189,405,-843
699,699,0,1492,636,-2444,3388,-3020,1556,636,-2484,-843,960,-711,190,404,-843,960,-711
700,700,0,3388,-3080,1460,564,-2428,3356,-3052,1544,-711,190,404,-843,960,-711,190,404
701,701,0,620,-2468,3404,-3092,1536,540,-2428,3404,403,-843,960,-711,190,403,-843,960
702,702,0,-3088,1468,652,-2452,3364,-3064,1564,652,960,-711,191,403,-843,960,-711,190
703,703,0,-2500,3348,-3036,1476,564,-2444,3348,-3076,191,403,-843,960,-712,191,403,-843
704,704,0,1508,540,-2428,3340,-3028,1472,540,-2444,-842,961,-712,191,403,-842,961,-712
705,705,0,3356,-3076,1520,604,-2412,3320,-3092,1460,-711,191,402,-842,961,-712,191,402
706,706,0,628,-2528,3388,-3036,1552,648,-2492,3348,402,-843,961,-712,192,402,-842,960
707,707,0,-3076,1480,576,-2428,3388,-3040,1516,588,960,-712,192,402,-842,961,-713,192
708,708,0,-2472,3356,-3060,1548,644,-2508,3324,-3060,192,401,-841,960,-712,192,402,-841
709,709,0,1468,572,-2516,3308,-3068,1472,588,-2460,-839,959,-711,192,400,-840,960,-711
710,710,0,3396,-3060,1576,660,-2404,3380,-3076,1584,-712,193,400,-840,959,-712,193,400
711,711,0,568,-2504,3348,-3044,1452,672,-2492,3340,400,-840,959,-712,193,400,-841,959
712,712,0,-3096,1476,668,-2484,3344,-3056,1456,676,959,-712,193,399,-839,959,-712,193
713,713,0,-2492,3380,-3068,1500,652,-2444,3356,-3084,194,399,-839,959,-712,193,399,-839
714,714,0,1488,676,-2428,3324,-3064,1480,644,-2516,-839,959,-712,194,399,-839,959,-712
715,715,0,3436,-3100,1536,668,-2452,3404,-3052,1528,-713,194,399,-839,959,-713,194,399
716,716,0,632,-2452,3388,-3076,1512,656,-2540,3340,400,-839,959,-712,193,399,-839,959
717,717,0,-3008,1512,576,-2452,3368,-3052,1456,652,959,-712,193,400,-840,959,-712,193
718,718,0,-2476,3364,-3092,1500,572,-2500,3412,-3036,193,399,-839,959,-712,193,400,-839
719,719,0,1476,700,-2548,3372,-3064,1532,652,-2436,-839,960,-712,193,399,-839,959,-711
720,720,0,3364,-3056,1452,708,-2412,3328,-3052,1460,-713,194,399,-840,960,-713,194,399
721,721,0,636,-2460,3372,-3036,1444,704,-2508,3380,400,-842,961,-714,194,400,-841,960
722,722,0,-3060,1496,608,-2452,3372,-3048,1564,652,960,-714,194,399,-841,961,-714,194
723,723,0,-2532,3380,-3060,1460,548,-2452,3364,-3052,195,399,-840,961,-714,195,399,-840
724,724,0,1496,620,-2540,3340,-3068,1532,564,-2428,-840,961,-714,195,399,-840,961,-714
725,725,0,3360,-3052,1520,588,-2420,3368,-3060,1444,-714,195,399,-840,961,-714,195,399
726,726,0,644,-2544,3324,-3036,1488,604,-2444,3324,400,-840,961,-714,194,399,-840,961
727,727,0,-3056,1496,624,-2564,3360,-3076,1464,620,960,-713,194,400,-841,960,-713,194
728,728,0,-2464,3372,-3052,1532,700,-2548,3356,-3036,194,399,-841,960,-714,194,400,-841
729,729,0,1484,588,-2532,3396,-3044,1492,636,-2516,-840,961,-714,194,399,-840,961,-714
730,730,0,3404,-3064,1544,700,-2504,3412,-3020,1492,-714,195,399,-840,961,-714,195,399
731,731,0,660,-2468,3388,-3076,1484,704,-2428,3404,399,-840,961,-714,195,399,-840,961
732,732,0,-3056,1520,584,-2532,3368,-3076,1464,676,961,-714,195,398,-840,961,-714,195
733,733,0,-2472,3348,-3068,1460,692,-2452,3356,-3028,196,398,-840,961,-715,195,398,-840
734,734,0,1420,684,-2500,3412,-3052,1540,588,-2564,-840,961,-715,196,398,-840,961,-715
735,735,0,3388,-3008,1460,692,-2560,3328,-3060,1436,-715,196,398,-839,961,-715,196,398
736,736,0,676,-2460,3372,-3028,1508,664,-2388,3372,397,-839,961,-715,196,397,-839,961
737,737,0,-3032,1528,676,-2460,3428,-3060,1424,596,960,-715,196,398,-840,961,-715,197
738,738,0,-2464,3396,-3060,1508,708,-2540,3364,-3036,195,398,-840,960,-714,195,399,-840
739,739,0,1420,660,-2564,3380,-2984,1524,596,-2564,-840,960,-714,195,398,-840,960,-714
740,740,0,3364,-3068,1452,692,-2452,3328,-3028,1536,-715,196,398,-840,960,-714,195,398
741,741,0,624,-2512,3412,-3020,1504,696,-2460,3396,398,-839,960,-715,196,398,-839,960
742,742,0,-3068,1452,692,-2524,3360,-3044,1432,732,961,-715,196,397,-839,961,-715,196
743,743,0,-2524,3348,-3028,1460,572,-2500,3364,-3036,197,397,-839,961,-715,196,397,-839
744,744,0,1484,620,-2516,3364,-3036,1516,676,-2468,-839,961,-715,197,397,-839,961,-715
745,745,0,3320,-3060,1480,708,-2460,3384,-3012,1536,-716,197,397,-839,961,-715,197,397
746,746,0,632,-2536,3348,-3036,1420,612,-2468,3348,396,-839,961,-716,197,396,-839,961
747,747,0,-3048,1520,640,-2452,3336,-3020,1492,604,961,-716,198,396,-839,961,-716,197
748,748,0,-2556,3404,-3028,1508,708,-2592,3364,-3060,198,396,-838,961,-716,198,396,-838
749,749,0,1480,652,-2540,3388,-3032,1448,604,-2540,-838,961,-716,198,396,-838,961,-716
750,750,0,3352,-3036,1460,644,-2444,3412,-3028,1452,-717,199,395,-838,961,-716,198,395
751,751,0,660,-2576,3372,-3092,1448,636,-2572,3404,395,-838,961,-717,199,395,-838,961
752,752,0,-3024,1504,724,-2476,3416,-3052,1480,716,961,-717,199,395,-838,961,-717,199
753,753,0,-2564,3388,-3004,1428,748,-2548,3348,-3036,199,394,-838,961,-717,199,395,-838
754,754,0,1480,604,-2500,3388,-3076,1400,660,-2532,-837,961,-717,200,394,-838,961,-717
755,755,0,3388,-3016,1512,620,-2560,3404,-3004,1428,-718,200,394,-837,961,-717,200,394
756,756,0,700,-2528,3380,-3036,1512,596,-2524,3364,394,-837,961,-718,200,394,-837,961
757,757,0,-3044,1460,692,-2564,3388,-3028,1424,692,961,-718,201,393,-837,961,-718,200
758,758,0,-2488,3372,-3044,1516,676,-2444,3412,-3052,201,393,-837,961,-718,201,393,-837
759,759,0,1436,628,-2508,3340,-3036,1532,604,-2572,-837,961,-718,201,393,-837,961,-718
760,760,0,3372,-3068,1496,596,-2576,3372,-3052,1496,-719,201,393,-837,961,-718,201,393
761,761,0,640,-2460,3404,-3052,1496,636,-2500,3348,392,-836,961,-719,202,392,-837,961
762,762,0,-3040,1472,708,-2532,3380,-3084,1424,604,961,-719,202,392,-836,961,-719,202
763,763,0,-2572,3372,-3052,1468,732,-2476,3340,-3028,202,392,-836,961,-719,202,392,-836
764,764,0,1428,660,-2452,3404,-3040,1368,700,-2572,-836,961,-719,203,392,-836,961,-719
765,765,0,3356,-3076,1504,700,-2484,3436,-3084,1536,-720,203,391,-836,961,-719,203,391
766,766,0,632,-2460,3380,-3012,1456,688,-2524,3364,391,-836,961,-720,203,391,-836,961
767,767,0,-3044,1432,592,-2548,3336,-3044,1428,676,961,-721,203,391,-836,961,-720,203
768,768,0,-2520,3364,-3020,1508,700,-2540,3404,-3084,204,390,-835,961,-720,204,391,-836
769,769,0,1464,676,-2556,3356,-3044,1440,684,-2564,-834,963,-721,205,389,-835,962,-719
770,770,0,3336,-3052,1404,716,-2560,3404,-3004,1412,-723,207,389,-835,963,-723,206,388
771,771,0,600,-2460,3316,-3020,1488,752,-2540,3372,389,-837,964,-723,207,389,-836,963
772,772,0,-3080,1480,692,-2580,3388,-3044,1500,636,963,-724,207,389,-836,964,-724,207
773,773,0,-2488,3364,-3020,1484,716,-2460,3340,-3028,207,388,-836,964,-724,207,388,-835
774,774,0,1428,644,-2596,3396,-3008,1392,636,-2524,-835,964,-724,208,388,-836,964,-724
775,775,0,3356,-3052,1448,620,-2560,3320,-3052,1420,-723,207,389,-836,964,-723,207,388
776,776,0,708,-2584,3364,-3028,1488,612,-2500,3364,389,-836,964,-723,206,389,-836,964
777,777,0,-3072,1428,624,-2484,3412,-3012,1424,772,964,-723,207,389,-836,964,-723,206
778,778,0,-2532,3348,-3020,1444,732,-2624,3316,-3028,207,389,-836,964,-723,207,389,-836
779,779,0,1456,684,-2564,3380,-2960,1460,628,-2468,-836,964,-724,207,388,-836,964,-723
780,780,0,3368,-2988,1404,628,-2492,3380,-2996,1472,-724,208,388,-835,964,-724,207,388
