Sample in Buffer,Sample in Window,TRIGGER,design_1_i/rf_ss/rf_data_system_ila/inst/probe0_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe1_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe2_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe3_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe4_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe5_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe6_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe7_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe8_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe9_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe10_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe11_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe12_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe13_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe14_1[15:0],design_1_i/rf_ss/rf_data_system_ila/inst/probe15_1[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED,SIGNED
939,939,0,1336,788,-2580,3452,-2952,1304,780,-2692,-818,970,-752,246,353,-818,970,-751
940,940,0,3352,-2944,1284,900,-2548,3404,-2980,1336,-752,246,353,-818,970,-752,246,353
941,941,0,836,-2636,3412,-2980,1376,756,-2684,3372,353,-817,970,-752,247,353,-818,970
942,942,0,-2948,1284,876,-2668,3392,-2936,1288,884,970,-752,247,353,-817,970,-752,247
943,943,0,-2616,3420,-2956,1324,876,-2648,3380,-2972,245,353,-818,970,-752,246,352,-817
944,944,0,1320,884,-2580,3412,-2944,1296,880,-2572,-818,970,-751,246,354,-818,970,-751
945,945,0,3412,-2972,1312,788,-2680,3328,-2980,1252,-751,246,353,-818,970,-751,246,354
946,946,0,832,-2636,3380,-2972,1368,880,-2684,3416,353,-818,970,-751,246,353,-818,970
947,947,0,-2964,1320,760,-2596,3432,-2924,1364,884,970,-751,245,354,-818,970,-752,246
948,948,0,-2652,3380,-2956,1332,876,-2612,3428,-3004,245,354,-818,970,-750,245,355,-818
949,949,0,1260,892,-2604,3428,-2944,1348,904,-2676,-818,970,-751,245,354,-818,970,-751
950,950,0,3352,-2912,1344,884,-2620,3364,-2964,1252,-751,245,354,-818,970,-751,245,354
951,951,0,840,-2664,3420,-2948,1368,896,-2588,3396,355,-818,969,-750,245,355,-818,970
952,952,0,-2948,1292,824,-2588,3428,-2928,1332,900,969,-750,244,355,-819,969,-750,244
953,953,0,-2644,3356,-2948,1324,892,-2680,3428,-2900,244,355,-818,969,-750,244,355,-818
954,954,0,1300,868,-2660,3396,-2912,1280,780,-2692,-818,969,-750,244,355,-818,969,-750
955,955,0,3396,-2988,1204,916,-2564,3420,-2956,1260,-750,245,354,-818,969,-750,245,354
956,956,0,840,-2604,3420,-2980,1260,812,-2604,3380,356,-819,969,-750,244,355,-818,968
957,957,0,-2968,1296,860,-2612,3396,-2944,1332,808,968,-749,243,356,-819,969,-750,243
958,958,0,-2660,3428,-2916,1260,908,-2628,3364,-2972,243,355,-818,968,-749,243,355,-818
959,959,0,1296,820,-2612,3372,-2948,1324,872,-2676,-816,967,-748,244,354,-817,968,-748
960,960,0,3388,-2972,1244,884,-2548,3436,-2932,1352,-747,243,355,-817,967,-748,243,354
961,961,0,900,-2604,3420,-2940,1368,820,-2684,3416,355,-818,967,-747,242,355,-818,967
962,962,0,-2940,1284,784,-2676,3360,-2940,1256,808,967,-748,243,355,-817,967,-747,242
963,963,0,-2616,3420,-2932,1260,932,-2636,3420,-2972,243,355,-817,967,-748,243,355,-817
964,964,0,1296,844,-2668,3396,-2912,1280,804,-2692,-817,967,-748,243,355,-817,967,-748
965,965,0,3344,-2928,1368,900,-2656,3380,-2972,1252,-748,243,354,-817,967,-748,243,354
966,966,0,868,-2612,3396,-2956,1304,828,-2676,3356,354,-816,967,-748,244,354,-816,967
967,967,0,-2956,1328,916,-2596,3412,-2964,1348,824,967,-748,243,355,-817,967,-748,244
968,968,0,-2676,3388,-2924,1220,764,-2596,3372,-2980,242,355,-817,967,-747,242,355,-817
969,969,0,1272,796,-2708,3396,-2936,1340,888,-2692,-817,967,-747,243,355,-817,967,-747
970,970,0,3360,-2988,1252,812,-2656,3372,-2924,1328,-748,243,355,-817,967,-748,243,355
971,971,0,916,-2664,3412,-2940,1228,904,-2572,3404,354,-817,967,-748,243,354,-817,967
972,972,0,-2944,1268,884,-2628,3360,-2924,1224,900,967,-748,243,354,-816,967,-748,243
973,973,0,-2708,3412,-2948,1276,908,-2668,3396,-2972,244,354,-816,967,-748,244,354,-816
974,974,0,1276,788,-2724,3412,-2956,1200,904,-2636,-816,967,-748,244,354,-816,967,-748
975,975,0,3396,-2928,1304,884,-2628,3344,-2900,1228,-749,244,353,-816,967,-749,244,353
976,976,0,840,-2628,3404,-2924,1368,828,-2684,3396,353,-816,967,-749,245,353,-816,967
977,977,0,-2940,1236,924,-2700,3404,-2956,1324,908,967,-749,245,353,-816,967,-749,245
978,978,0,-2660,3420,-2964,1332,852,-2596,3340,-2924,245,352,-815,967,-749,245,353,-816
979,979,0,1268,820,-2668,3372,-2912,1240,896,-2588,-815,967,-749,245,352,-815,967,-749
980,980,0,3328,-2916,1276,900,-2680,3384,-2932,1228,-750,246,352,-815,967,-749,246,352
981,981,0,924,-2680,3396,-2932,1260,936,-2580,3448,352,-815,967,-750,246,352,-815,967
982,982,0,-2956,1260,816,-2684,3396,-2912,1316,816,967,-750,246,351,-815,967,-750,246
983,983,0,-2616,3412,-2924,1236,844,-2672,3436,-2948,249,350,-814,967,-751,247,350,-815
984,984,0,1360,892,-2716,3372,-2888,1264,936,-2676,-813,967,-752,249,349,-814,967,-752
985,985,0,3376,-2960,1344,948,-2564,3352,-2932,1228,-752,249,349,-813,967,-752,249,349
986,986,0,896,-2672,3396,-2932,1312,828,-2700,3364,348,-813,967,-752,249,349,-813,967
987,987,0,-2916,1236,864,-2700,3380,-2920,1308,832,967,-752,250,348,-813,967,-752,250
988,988,0,-2648,3380,-2892,1196,812,-2688,3396,-2948,250,348,-813,967,-752,250,348,-813
989,989,0,1188,892,-2668,3364,-2932,1240,884,-2708,-813,967,-753,250,348,-813,967,-752
990,990,0,3368,-2948,1320,884,-2680,3436,-2916,1220,-754,252,346,-812,968,-753,252,347
991,991,0,824,-2688,3412,-2932,1312,852,-2692,3396,345,-811,968,-754,253,345,-812,968
992,992,0,-2920,1252,848,-2668,3380,-2948,1272,924,968,-755,253,345,-811,968,-754,253
993,993,0,-2648,3412,-2956,1292,940,-2636,3412,-2916,254,346,-812,969,-755,253,345,-811
994,994,0,1288,876,-2684,3404,-2924,1324,828,-2676,-813,971,-756,254,345,-813,970,-756
995,995,0,3368,-2956,1280,836,-2696,3404,-2948,1272,-756,254,345,-813,970,-756,254,345
996,996,0,924,-2712,3396,-2940,1280,912,-2604,3388,345,-812,970,-757,255,345,-812,969
997,997,0,-2968,1280,832,-2692,3344,-2872,1300,824,970,-758,256,344,-812,970,-758,255
998,998,0,-2700,3380,-2932,1212,932,-2620,3412,-2940,257,342,-811,970,-758,257,342,-811
999,999,0,1220,948,-2612,3436,-2880,1300,960,-2708,-811,971,-759,257,342,-811,971,-759
